Antargaz-Finagaz
Arc Energies Maurienne
Caléo
Centrale électrique Vonderscheer de Ville
Coopérative d'électricité de Saint Martin de Londres
Coopérative d'électricité de Villiers sur Marne
EBM – Elektra Birseck
EdF-SEI
Electricité de Mayotte
Electricité de Strasbourg
Enedis
Energie développement services du Briançonnais
Energie et services de Seyssel
Energie Pays Toy
Energies et services Creutzwald
Energies et services d'Hagondange
Energies et services Hombourg-Haut
Energies et services Pierrevillers
Energies et Services Sarre-Union
Energies et services Schoeneck
Energies et Services ville d'Amneville
Energies Services Lannemezan
Energies Services Lavaur
Energies Services Occitans
Energies-services Sainte Marie aux Chênes
Energis
Gascogne Energies Services
Gaz de Barr
Gazelec de Péronne
Gaz électricité de Grenoble
Gedia
GÉRÉDIS
Gignac Energie
GRDF
GreenAlp
Groupement Elise - Régie d'Allemont
Groupement Elise - Régie de Pinsot
Groupement Elise - Régie de Saint-Marcellin
Groupement Elise - Régie de Saint-Pierre-d'Allevard
Groupement Elise - Régie de Séchilienne
Groupement Elise - Régie de Villard-Bonnot
Groupement Elise - Régie de Vinay
Groupement Elise - Régie du Moutaret
GRT Gaz
operateur
Primeo Réseau de Distribution
Regaz Bordeaux
Régie communale de distribution d'électricité et d'eau Mitry Mory
Régie communale d'électricité de Gattieres
Régie communale d'électricité de Montois-la-Montagne
Régie communale d'électricité de Saulnes
Régie communale d'électricité d'Uckange
Régie communale de Montdidier
Régie communale du câble et d'électricité de Montataire
Régie d'électricité Counozouls
Régie d'électricité d'Aigueblanche
Régie d'électricité de Bitche
Régie d'électricité de Fontpedrouse et de Mont-Louis
Régie d'électricité d'Elbeuf
Régie d'électricité de Montvalezan-La-Rosière
Régie d'électricité de Roquebillière
Régie d'électricité de Sainte Marie de Cuines
Régie d'électricité de Saint-Quirc
Régie d'électricité de Tours en Savoie
Régie d'électricité du Morel
Régie d'électricité du syndicat du sud de La Réole
Régie de Saint Paul Cap de Joux
Régie du syndicat électrique intercommunal du Pays Chartrain (RSEIPC)
Régie du syndicat intercommunal d'électricité de la vallée de Thônes
Régie électrique communale d'Aussois
Régie électrique d'Avrieux
Régie électrique de Bessans
Régie électrique de Bonneval-sur-Arc
Régie électrique de Bozel
Régie électrique de Fontaine Le Puits
Régie électrique de Gervans
Régie électrique de La Cabanasse
Régie électrique de La Chapelle
Régie électrique de Petit-Coeur
Régie électrique de Prats-de-Mollo-la-Preste
Régie électrique de Sainte-Foy-Tarentaise
Régie électrique de Saint Laurent de Cerdans
Régie électrique de Tignes
Régie électrique de Villarlurin
Régie électrique de Villaroger
Régie électrique de Villeneuve-Au-Chêne
Régie électrique municipale de Fontaine-au-Pire
Régie électrique municipale de Fontpedrouse
Régie électrique municipale de Mont Louis
Régie électrique municipale de Prats-de-Mollo-la-Preste
Régie électrique municipale de Saint Laurent de Cerdans
Régie électriques de Tignes
Régie intercommunale d'électricité de Niederbronn-Reichshoffen
Régie Municipale Bazas-Energies
Régie municipale de Cazouls-les-Béziers
Régie Municipale de Cazouls-les-Béziers
Régie municipale d'électricité d'Allevard
Régie municipale d'électricité d'Arignac
Régie municipale d'électricité de Clouange
Régie municipale d'électricité de Dalou
Régie municipale d'électricité de Gandrange
Régie municipale d'électricité de La Bresse
Régie municipale d'électricité de La Chambre
Régie municipale d'électricité de la Ferrière
Régie municipale d'électricité de Laruns
Régie municipale d'électricité de l'Hospitalet Près L'Andorre
Régie municipale d'électricité de Loos
Régie municipale d'électricité de Martres Tolosane
Régie municipale d'électricité de Mazeres
Régie municipale d'électricité de Mercus
